"Node ID",Name,Type,"Default OSID","Node Status ▾","Hours Idle[ 1 ]","Startup Status[ 2 ]"
wf473,h8,wf,"UBUNTU18-64-CARP","possibly down","1101.12 ?",none
wf144,h0,wf,"UBUNTU18-64-CARP",up,0,0
wf525,h37,wf,"UBUNTU18-64-CARP",up,860.04,0
wf527,h41,wf,"UBUNTU18-64-CARP",up,860.07,0
wf524,h62,wf,"UBUNTU18-64-CARP",up,860.15,0
wf526,h64,wf,"UBUNTU18-64-CARP",up,860.15,0
wf512,h9,wf,"UBUNTU18-64-CARP",up,896.36,0
wf504,h1,wf,"UBUNTU18-64-CARP",up,897.41,0
wf609,h10,wf,"UBUNTU18-64-CARP",up,897.41,0
wf165,h11,wf,"UBUNTU18-64-CARP",up,897.41,0
wf157,h12,wf,"UBUNTU18-64-CARP",up,897.41,0
wf614,h13,wf,"UBUNTU18-64-CARP",up,897.41,0
wf549,h14,wf,"UBUNTU18-64-CARP",up,897.41,0
wf599,h15,wf,"UBUNTU18-64-CARP",up,897.41,0
wf615,h16,wf,"UBUNTU18-64-CARP",up,897.41,0
wf543,h2,wf,"UBUNTU18-64-CARP",up,897.41,0
wf482,h3,wf,"UBUNTU18-64-CARP",up,897.41,0
wf351,h4,wf,"UBUNTU18-64-CARP",up,897.41,0
wf232,h5,wf,"UBUNTU18-64-CARP",up,897.41,0
wf606,h6,wf,"UBUNTU18-64-CARP",up,897.41,0
wf535,h7,wf,"UBUNTU18-64-CARP",up,897.41,0
wf462,h19,wf,"UBUNTU18-64-CARP",up,898.02,0
wf466,h20,wf,"UBUNTU18-64-CARP",up,898.02,0
wf547,h17,wf,"UBUNTU18-64-CARP",up,898.03,0
wf568,h18,wf,"UBUNTU18-64-CARP",up,898.03,0
wf469,h23,wf,"UBUNTU18-64-CARP",up,898.59,0
wf587,h26,wf,"UBUNTU18-64-CARP",up,898.59,0
wf471,h28,wf,"UBUNTU18-64-CARP",up,898.59,0
wf515,h31,wf,"UBUNTU18-64-CARP",up,898.59,0
wf214,h32,wf,"UBUNTU18-64-CARP",up,898.59,0
wf541,h21,wf,"UBUNTU18-64-CARP",up,898.67,0
wf576,h24,wf,"UBUNTU18-64-CARP",up,898.67,0
wf550,h27,wf,"UBUNTU18-64-CARP",up,898.67,0
wf513,h29,wf,"UBUNTU18-64-CARP",up,898.67,0
wf479,h22,wf,"UBUNTU18-64-CARP",up,898.68,0
wf607,h25,wf,"UBUNTU18-64-CARP",up,898.68,0
wf231,h30,wf,"UBUNTU18-64-CARP",up,898.68,0
wf474,h33,wf,"UBUNTU18-64-CARP",up,898.81,0
wf489,h34,wf,"UBUNTU18-64-CARP",up,898.81,0
wf570,h45,wf,"UBUNTU18-64-CARP",up,898.81,0
wf571,h48,wf,"UBUNTU18-64-CARP",up,898.81,0
wf539,h56,wf,"UBUNTU18-64-CARP",up,898.81,0
wf510,h58,wf,"UBUNTU18-64-CARP",up,898.81,0
wf613,h60,wf,"UBUNTU18-64-CARP",up,898.81,0
wf468,h67,wf,"UBUNTU18-64-CARP",up,898.81,0
wf559,h68,wf,"UBUNTU18-64-CARP",up,898.81,0
wf502,h74,wf,"UBUNTU18-64-CARP",up,898.81,0
wf551,h75,wf,"UBUNTU18-64-CARP",up,898.81,0
wf580,h78,wf,"UBUNTU18-64-CARP",up,898.81,0
wf565,h79,wf,"UBUNTU18-64-CARP",up,898.81,0
wf588,h81,wf,"UBUNTU18-64-CARP",up,898.81,0
wf616,h85,wf,"UBUNTU18-64-CARP",up,898.81,0
wf219,h88,wf,"UBUNTU18-64-CARP",up,898.81,0
wf519,h91,wf,"UBUNTU18-64-CARP",up,898.81,0
wf554,h92,wf,"UBUNTU18-64-CARP",up,898.81,0
wf190,h97,wf,"UBUNTU18-64-CARP",up,898.81,0
wf481,h35,wf,"UBUNTU18-64-CARP",up,898.89,0
wf545,h36,wf,"UBUNTU18-64-CARP",up,898.89,0
wf604,h38,wf,"UBUNTU18-64-CARP",up,898.89,0
wf186,h39,wf,"UBUNTU18-64-CARP",up,898.89,0
wf573,h40,wf,"UBUNTU18-64-CARP",up,898.89,0
wf600,h42,wf,"UBUNTU18-64-CARP",up,898.89,0
wf598,h43,wf,"UBUNTU18-64-CARP",up,898.89,0
wf586,h44,wf,"UBUNTU18-64-CARP",up,898.89,0
wf608,h46,wf,"UBUNTU18-64-CARP",up,898.89,0
wf464,h47,wf,"UBUNTU18-64-CARP",up,898.89,0
wf533,h49,wf,"UBUNTU18-64-CARP",up,898.89,0
wf234,h50,wf,"UBUNTU18-64-CARP",up,898.89,0
wf531,h51,wf,"UBUNTU18-64-CARP",up,898.89,0
wf164,h52,wf,"UBUNTU18-64-CARP",up,898.89,0
wf611,h53,wf,"UBUNTU18-64-CARP",up,898.89,0
wf478,h54,wf,"UBUNTU18-64-CARP",up,898.89,0
wf225,h55,wf,"UBUNTU18-64-CARP",up,898.89,0
wf517,h57,wf,"UBUNTU18-64-CARP",up,898.89,0
wf215,h59,wf,"UBUNTU18-64-CARP",up,898.89,0
wf523,h61,wf,"UBUNTU18-64-CARP",up,898.89,0
wf520,h63,wf,"UBUNTU18-64-CARP",up,898.89,0
wf612,h65,wf,"UBUNTU18-64-CARP",up,898.89,0
wf146,h66,wf,"UBUNTU18-64-CARP",up,898.89,0
wf213,h69,wf,"UBUNTU18-64-CARP",up,898.89,0
wf538,h70,wf,"UBUNTU18-64-CARP",up,898.89,0
wf590,h71,wf,"UBUNTU18-64-CARP",up,898.89,0
wf582,h72,wf,"UBUNTU18-64-CARP",up,898.89,0
wf490,h73,wf,"UBUNTU18-64-CARP",up,898.89,0
wf486,h76,wf,"UBUNTU18-64-CARP",up,898.89,0
wf488,h77,wf,"UBUNTU18-64-CARP",up,898.89,0
wf196,h80,wf,"UBUNTU18-64-CARP",up,898.89,0
wf575,h82,wf,"UBUNTU18-64-CARP",up,898.89,0
wf141,h83,wf,"UBUNTU18-64-CARP",up,898.89,0
wf183,h84,wf,"UBUNTU18-64-CARP",up,898.89,0
wf503,h86,wf,"UBUNTU18-64-CARP",up,898.89,0
wf546,h87,wf,"UBUNTU18-64-CARP",up,898.89,0
wf557,h89,wf,"UBUNTU18-64-CARP",up,898.89,0
wf544,h90,wf,"UBUNTU18-64-CARP",up,898.89,0
wf476,h93,wf,"UBUNTU18-64-CARP",up,898.89,0
wf155,h94,wf,"UBUNTU18-64-CARP",up,898.89,0
wf228,h95,wf,"UBUNTU18-64-CARP",up,898.89,0
wf563,h96,wf,"UBUNTU18-64-CARP",up,898.89,0
wf475,h98,wf,"UBUNTU18-64-CARP",up,898.89,0
wf584,h99,wf,"UBUNTU18-64-CARP",up,898.89,0
